Province,City,Number,Lng,Lat
贵州省,Tongren,36,109.168558,27.674903
广东省,Huizhou,385,114.410658,23.11354
贵州省,Guiyang,631,106.709177,26.629907
山西省,Linfen,130,111.538788,36.099745
江苏省,Changzhou,682,119.981861,31.771397
青海省,Xining,170,101.767921,36.640739
广西壮族自治区,Chongzuo,10,107.357322,22.415455
福建省,Ningde,120,119.542082,26.656527
河南省,Luoyang,450,112.447525,34.657368
江苏省,Taizhou,194,119.919606,32.476053
湖北省,Yichang,253,111.310981,30.732758
新疆维吾尔自治区,Wulumuqi,505,87.564988,43.84038
湖南省,Zhangjiajie,50,110.48162,29.124889
山东省,Weihai,269,122.093958,37.528787
广东省,Shantou,487,116.72865,23.383908
湖南省,Huaihua,112,109.986959,27.557483
四川省,Nanchong,101,106.105554,30.800965
甘肃省,Lanzhou,615,103.823305,36.064226
广东省,Zhongshan,343,113.42206,22.545178
香港,Hong Kong,962,114.186124,22.293586
江苏省,Lianyungang,213,119.173872,34.601549
福建省,Quanzhou,650,118.600362,24.901652
辽宁省,Yingkou,77,122.233391,40.668651
江苏省,Yancheng,221,120.148872,33.379862
广西壮族自治区,Hechi,38,108.069948,24.699521
甘肃省,Tianshui,45,105.736932,34.584319
山东省,Zibo,348,118.059134,36.804685
河北省,Qinhuangdao,223,119.604368,39.945462
湖南省,Hengyang,225,112.583819,26.898164
湖北省,Shiyan,109,110.801229,32.636994
海南省,Sanya,132,109.522771,18.257776
河南省,Pingdingshan,98,113.300849,33.745301
湖南省,Yiyang,68,112.366547,28.588088
河南省,Zhoukou,80,114.654102,33.623741
辽宁省,Benxi,46,123.778062,41.325838
西藏自治区,Naqu,12,92.067018,31.48068
湖南省,Changde,170,111.653718,29.012149
海南省,Haikou,478,110.330802,20.022071
黑龙江省,Yichun,25,128.910766,47.734686
江苏省,Changzhou,21,119.903154,31.939946
山西省,Suzhou,18,112.479928,39.337672
贵州省,Miao Autonomous Region,29,104.900558,25.095148
广东省,Qingyuan,101,113.040773,23.698469
湖北省,Huangshi,123,115.050683,30.216127
浙江省,Hengzhou,143,118.875842,28.95691
河南省,Jiaozuo,120,113.211836,35.234608
江西省,Yingtan,39,117.03545,28.24131
吉林省,Baishan,34,126.435798,41.945859
河南省,Xincun,176,113.91269,35.307258
陕西省,Xianyang,151,108.707509,34.345373
河南省,Sanmenxia,49,111.181262,34.78332
广东省,Chaozhou,128,116.630076,23.661812
江西省,Dengdezhen,104,117.186523,29.303563
湖北省,Xiaogan,72,113.935734,30.927955
内蒙古自治区,Baotou,212,109.846239,40.647119
辽宁省,Fuxin,42,121.660822,42.01925
四川省,Suining,51,105.564888,30.557491
安徽省,Haozhou,48,115.787928,33.871211
河南省,Shangqu,91,115.641886,34.438589
湖北省,Huang'gang,83,114.906618,30.446109
山东省,Rizhao,174,119.50718,35.420225
台湾省,Taipei,266,121.520109,25.06303
贵州省,Zuiyi,146,106.93126,27.699961
广东省,Yunfu,28,112.050946,22.937976
安徽省,Bengbu,160,117.35708,32.929499
江苏省,Huai'an,206,119.030186,33.606513
山西省,Jincheng,93,112.867333,35.499834
陕西省,Ankang,55,109.038045,32.70437
安徽省,Huainan,122,117.018639,32.642812
四川省,Mianyang,225,104.705519,31.504701
福建省,Putian,110,119.077731,25.44845
广东省,Zhaoqing,112,112.479653,23.078663
河北省,Chengde,81,117.933822,40.992521
福建省,Zhangzhou,183,117.676205,24.517065
云南省,Lisu Autonomous Region,8,98.859932,25.860677
吉林省,Jilin,205,126.564544,43.871988
河北省,Zhangjiakou,132,114.893782,40.811188
湖南省,Shaoyang,89,111.461525,27.236811
福建省,Sanming,115,117.642194,26.270835
浙江省,Huzhou,279,120.137243,30.877925
内蒙古自治区,Hulunbei'er,104,119.760822,49.201636
贵州省,Bijie,30,105.333323,27.408562
浙江省,Jinhua,496,119.652576,29.102899
广东省,Shaoguang,112,113.594461,24.80296
山东省,Zaozhuang,119,117.279305,34.807883
山东省,Tai'an,245,117.089415,36.188078
贵州省,Liupanshui,37,104.852087,26.591866
四川省,Yi Autonomous Region,25,102.259591,27.892393
河北省,Cangzhou,121,116.863806,38.297615
黑龙江省,Daqing,206,125.02184,46.596708
四川省,Zigong,69,104.776071,29.359157
宁夏回族自治区,Guyuan,13,106.285268,36.021523
安徽省,Liu'an,96,116.505253,31.755558
辽宁省,Dandong,98,124.338543,40.129023
北京市,Beijing,53,116.364402,39.913884
甘肃省,Longnan,14,104.934573,33.39448
四川省,Leshan,101,103.760824,29.600958
山东省,Dongying,164,118.583926,37.487121
四川省,Guang'an,59,106.63572,30.463984
贵州省,Miao Autonomous Region,38,107.523205,26.264536
湖南省,Zhuzhou,226,113.131695,27.827433
四川省,Luzhou,80,105.44397,28.89593
江西省,Pingxiang,54,113.859917,27.639544
甘肃省,Zhangye,20,100.459892,38.93932
河南省,Anyang,139,114.351807,36.110267
辽宁省,Mianzhou,113,121.147749,41.130879
山东省,Binzhou,93,117.968292,37.405314
广东省,Shanwei,69,115.372924,22.778731
陕西省,Tongchuan,16,108.968067,34.908368
黑龙江省,Jiixi,23,130.941767,45.32154
吉林省,Chaoxian Autonomous Region,72,129.485902,42.896414
湖南省,Loudi,60,111.996396,27.741073
广西壮族自治区,Beihai,63,109.122628,21.472718
四川省,Panzhihua,23,101.722423,26.587571
广东省,Zhuhai,663,113.562447,22.256915
贵州省,Miao Autonomous Region,45,107.985353,26.583992
安徽省,Hefei,10,117.88049,31.608733
内蒙古自治区,Wuhai,47,106.925397,39.296209
湖北省,Suizhou,24,113.379358,31.717858
云南省,Yi Autonomous Region,50,103.384065,23.367718
云南省,Yi Autonomous Region,31,101.328638,24.880252
甘肃省,Jiuquan,4,94.158042,40.388771
甘肃省,Jiuquan,34,98.508415,39.741474
西藏自治区,Lhasa,51,91.111891,29.662557
广东省,Yangjiang,71,111.97701,21.871517
河南省,Luohe,46,114.046061,33.576279
贵州省,Anshun,40,105.92827,26.228595
江西省,Ji'an,94,114.992039,27.113848
浙江省,Zhoushan,169,122.169872,30.03601
甘肃省,Hui Autonomous Region,6,103.200576,35.585835
安徽省,Wuhu,328,118.384108,31.36602
吉林省,Songyuan,40,124.832995,45.13605
河南省,Puyang,67,115.026627,35.753298
四川省,Ya'an,34,103.009356,29.999716
辽宁省,Tieling,39,123.85485,42.299757
海南省,Chanzhou,8,109.334586,19.574788
吉林省,Baicheng,25,122.840777,45.621085
湖北省,Xiangyang,151,111.949549,31.939713
内蒙古自治区,Bayanzhuo'er,42,107.423807,40.76918
安徽省,Xuzhou,76,116.988692,33.636772
广西壮族自治区,Baise,41,106.631821,23.901512
云南省,Dai Autonomous Region,26,100.803038,22.009433
宁夏回族自治区,Wuzhong,14,106.208254,37.993561
广西壮族自治区,Liuzhou,212,109.422402,24.329053
云南省,Canglin,13,100.092613,23.887806
安徽省,Huangshan,85,118.29357,29.734435
湖南省,Yongzhou,73,111.614648,26.435972
西藏自治区,Rikaze,25,88.956063,29.26816
辽宁省,Fuzhou,75,123.92982,41.877304
湖北省,Jingmen,46,112.21733,31.042611
新疆维吾尔自治区,,35,86.041865,44.308259
安徽省,Chizhou,48,117.494477,30.660019
山西省,Yangquan,47,113.569238,37.869529
云南省,Zang Autonomous Region,3,99.713682,27.831029
吉林省,Siping,43,124.391382,43.175525
安徽省,Tongling,81,117.819429,30.94093
北京市,Beijing,12,115.826714,39.701923
广西壮族自治区,Fangchenggang,13,108.351791,21.617398
安徽省,Xuancheng,75,118.752096,30.951642
山东省,Zezhou,114,116.328161,37.460826
甘肃省,Jinchang,11,102.208126,38.516072
甘肃省,Pingliang,14,106.688911,35.55011
四川省,Meishan,46,103.84143,30.061115
云南省,Qujing,89,103.782539,25.520758
新疆维吾尔自治区,,3,87.565449,44.368899
陕西省,Yulin,52,109.745926,38.279439
陕西省,Yan'an,34,109.50051,36.60332
四川省,Guangyuan,35,105.819687,32.44104
西藏自治区,Ali,24,81.107669,30.404557
广西壮族自治区,Yulin,56,110.151676,22.643974
宁夏回族自治区,Shizuishan,20,106.379337,39.020223
云南省,Miao Autonomous Region,30,104.03094,23.41601
福建省,Nanping,103,118.181883,26.643626
黑龙江省,Simujia,56,130.284735,46.81378
新疆维吾尔自治区,Hui Autonomous Region,57,87.073618,44.175083
江苏省,Suzhou,48,120.965808,31.328937
江苏省,Suqian,106,118.296893,33.95205
辽宁省,Panjin,65,122.073228,41.141248
河南省,Hebi,30,114.29777,35.755426
江苏省,Suzhou,8,120.627279,31.907812
河北省,Jingtai,112,114.520487,37.069531
黑龙江省,Qiqiha'er,88,123.987289,47.347701
新疆维吾尔自治区,Akesu,19,81.156013,40.349444
宁夏回族自治区,Zhongwei,17,105.196754,37.521124
新疆维吾尔自治区,Kashen,56,76.014343,39.513111
四川省,Bazhong,26,106.757916,31.869189
四川省,Ziyang,21,104.63593,30.132191
云南省,Shaotong,22,103.725021,27.340633
浙江省,Wenzhou,2,121.016175,28.261839
海南省,,22,110.414359,19.21483
吉林省,Tonghua,37,125.94265,41.736397
广东省,Jiangmen,234,113.078125,22.575117
湖北省,E'zhou,37,114.895594,30.384439
陕西省,Weinan,56,109.483933,34.502358
黑龙江省,Hegang,22,130.292472,47.338667
辽宁省,Liaoyang,53,123.172451,41.273339
内蒙古自治区,Alapu,17,105.695683,38.843075
北京市,Beijing,50,116.521695,39.958953
新疆维吾尔自治区,,8,85.709418,41.7055
